KWW_ID,correct_id,KWW_originator,gov_agency,mainpage,educationcenterblogtipsar,additionalcenter,FAQ,Glossary,Notes
184,184,"1st alliance lending, llc",,https://www.1stalliancelending.com/,,,,,
2,2,360 mortgage group llc,,https://www.360mtg.com/,n/a,,,,
13,13,academy mortgage,,https://academymortgage.com/,https://academymortgage.com/homebuyer-education/helpful-articles,,,,
3,3,acopia capital group,,https://acopiahomeloans.com/,n/a,,,,
186,186,alabama housing finance authority,y,http://www.ahfa.com/,,,,,
4,4,alaska usa mortgage company,,https://www.alaskausamortgage.com/,https://www.alaskausamortgage.com/help/,,,https://www.alaskausamortgage.com/help/glossary.asp,
5,5,allied mortgage group,,https://alliedmg.com/,https://alliedmg.com/blog,,,,
14,14,amcap mortgage ltd,,https://myamcap.mymortgage-online.com/,n/a,,,,drop because learning center requires login
7,7,american financial network inc,,https://www.afncorp.com/home,https://www.afncorp.com/resource-center,,,,
8,8,american financial resources,,https://www.afrcorp.com/,n/a,,,,
16,16,american pacific mortgage,,https://www.apmortgage.com/,https://www.apmortgage.com/resource-center,,,https://www.apmortgage.com/loan-options/learning-center,
17,17,amerifirst financial corp,,https://www.amerifirst.com/,https://www.amerifirst.com/amerifirst-blog,,,https://www.amerifirst.com/resources/glossary,
18,18,amerihome mortgage,,https://www.amerihome.com/,n/a,,,,
19,19,amerisave mortgage,,https://www.amerisave.com/,https://www.amerisave.com/knowledge-center/,,,,
20,20,ark-la-tex fin svcs.,,https://benchmark.us/,https://benchmark.us/resources/benchmark-university/,,,,
189,189,"assurance financial group, llc",,https://assurancemortgage.com/,,,,,
11,11,atlantic bay mortgage grp llc,,https://atlanticbay.com/,https://atlanticbay.com/blog/,,,https://atlanticbay.com/clients/,
190,190,"atlantic home loans, inc.",,https://www.atlantichomeloans.com/,,,,,
12,12,aurora financial group inc,,https://auroraf.com/,n/a,,,,
191,191,"axia financial, llc",,https://www.axiahomeloans.com/,,,,,
31,31,bay equity,,https://www.bayequityhomeloans.com/,https://www.bayequityhomeloans.com/tools-and-resources/,,https://www.bayequityhomeloans.com/home-loan-faqs/,,
30,30,brand mtg grp llc,,https://brandmortgage.com/,n/a,,https://brandmortgage.com/resource-center/faqs/,https://brandmortgage.com/resource-center/glossary-of-terms/,"drop, hard to define whether it has knowledge center"
32,32,caliber funding,,https://caliberhomeloans.com/,https://caliberhomeloans.com/tools-resources/hints-for-homeowners,,https://caliberhomeloans.com/tools-resources/faqs,https://caliberhomeloans.com/tools-resources/my-account/document-index,
50,32,caliber home loans,,https://caliberhomeloans.com/,,,,,
33,33,cardinal financial company,,https://cardinalfinancial.com/,https://cardinalfinancial.com/resources/blog/,,https://cardinalfinancial.com/resources/faqs/,https://cardinalfinancial.com/resources/glossary/,
195,195,"carrington mortgage services, llc",,https://carringtonms.com/,,,,,
196,196,cascade financial services,,https://www.cascadeloans.com/,,,,,
51,51,cashcall inc,,https://www.cashcall.com/Landing,n/a,,,,
35,35,castle and cooke mortgage llc,,https://www.castlecookemortgage.com/,https://www.castlecookemortgage.com/blog/,,https://www.castlecookemortgage.com/tools/faq/,https://www.castlecookemortgage.com/glossary/,
197,197,castle mortgage corporation,,https://www.castlemortgage.com/,,,,,
37,37,cent mtg co d/b/a century lend,,https://centurylending.net/,n/a,,,,
199,199,"cherry creek mortgage co., inc.",,https://www.cherrycreekmortgage.com/,,,,,
52,52,chicago mortgage solutions,,http://www.chicagomortgagesolutionscorp.com/index.html,n/a,,,,
200,200,"cis financial services, inc.",,https://cishomeloans.com/,,,,,
201,201,"cmc funding, inc.",,https://cmc.servicingloans.com/,,,,,
42,42,cmg mortgage,,https://www.cmgfi.com/,file:///C:/Users/wangkai/Downloads/first-time-home-buyers-guide.pdf,,,,
202,202,colorado housing and finance authority,y,https://www.chfainfo.com/,,,,,
203,203,"commerce home mortgage, llc.",,https://www.commercehomemortgage.com/,,,,,
48,48,"continental home loans, inc",,https://1444482276.mortgage-application.net/Default.aspx,,,https://1444482276.mortgage-application.net/PageContent.aspx?PageID=50,https://1444482276.mortgage-application.net/MortgageGlossary.aspx,
205,205,"cornerstone home lending, inc.",,https://www.houseloan.com/,,,,,
206,206,corridor mortgage group,,https://www.corridormtg.com/,,,,,
207,207,"countryplace mortgage, ltd.",,https://www.countryplaceloans.com/,,,,,
49,49,crescent mtg co,,https://www.crescentmortgage.com/,n/a,,,,
210,210,"crosscountry mortgage, inc.",,https://crosscountrymortgage.com/,,,,,
211,211,crown mortgage company,,https://crownmortgagecompany.mymortgage-online.com/,,,,,
212,212,delmar financial company,,https://www.delmarfinancial.com/,,,,,
213,213,"dhi mortgage company, ltd.",,https://www.dhimortgage.com/,,,,,
53,53,direct mortgage corp,,http://www.directmortgagecorp.com/,,,http://directmortgagecorp.com/faq.aspx,,
55,55,ditech financial,,https://www.ditech.com/,http://blog.ditech.com/blog/all,,,,
214,214,"dovenmuehle mortgage, inc.",,http://www.dovenmuehle.com/,,,,,
215,215,draper and kramer mortgage corporation,,https://dkmortgage.com/,,,,,
56,56,"eagle home mortgage, inc.",,https://eaglehm.com/,https://eaglehm.com/learning-center,,,,
217,217,embrace home loans inc.,,https://www.embracehomeloans.com/,,,,,
57,57,"envoy mortgage, ltd",,https://www.envoymortgage.com/,https://www.envoymortgage.com/articles/,,https://www.envoymortgage.com/faqs/,,
219,219,"equity resources, inc.",,https://callequity.net/,,,,,
59,59,essex mortgage,,http://essexmortgage.com/,http://essexmortgage.com/blog/,,,,
60,60,evergreen moneysource mortgage,,https://www.evergreenhomeloans.com/,https://www.evergreenhomeloans.com/evergreen-insights,,https://www.evergreenhomeloans.com/buy-a-home/buying-a-home-faqs,https://www.evergreenhomeloans.com/home-buyer-education-center/loan-terminology,
78,78,fairway independent mortgage,,https://www.fairwayindependentmc.com/,https://www.fairwayindependentmc.com/resources/homebuyers,,https://www.fairwayindependentmc.com/resources/faq,https://www.fairwayindependentmc.com/resources/glossary,
220,220,"fay servicing, llc",,https://www.fayservicing.com/,,,,,
62,62,"fbc mortgage, llc",,https://www.fbchomeloans.com/,https://www.fbchomeloans.com/education-resources/,,,,
221,221,finance of america mortgage llc,,https://www.foamortgage.com/,,,,,
223,223,"first choice loan services, inc. a berkshire bank company",,https://fcloans.com/,,,,,
69,69,"first community mortgage, inc",,https://human.firstcommunitymortgage.com/,n/a,,,,
70,70,first continental mortgage ltd,,https://firstcontinentalmtg.com/,n/a,,,,
72,72,first guaranty mortgage corp,,https://fgmc.com/,https://fgmc.com/mortgage-sense/,,,,
73,73,first home mortgage corporation,,https://firsthome.com/,https://firsthome.com/blog/,,,https://firsthome.com/mortgage-glossary/,
227,227,"firstkey mortgage, llc",,https://www.firstkeymortgage.com/,,,,,
228,228,"flat branch mortgage, inc.",,https://www.flatbranchhomeloans.com/,,,,,
229,229,"fm home loans, llc",,https://www.fmm.com/,,,,,
79,79,franklin american mortgage,,https://www.franklinamerican.com/,n/a,,,,
80,80,freedom mortgage,,https://www.freedommortgage.com/,https://www.freedommortgage.com/insights,http://blog.freedommortgage.com/category/mortgage-101,https://www.freedommortgage.com/frequently-asked-questions,https://www.freedommortgage.com/glossary,
230,230,gateway mortgage corporation,,https://www.gatewaymortgagecorp.com/,,,,,
81,81,"gateway mortgage group, llc.",,https://www.gatewayloan.com/,https://www.gatewayloan.com/resources/,,,,
82,82,"gmfs, llc",,https://gmfsmortgage.com/,https://gmfsmortgage.com/resources/,,https://gmfsmortgage.com/resources/faq/,https://gmfsmortgage.com/glossary/,
231,231,goodmortgage.com,,https://www.goodmortgage.com/,,,,,
83,83,gsf mortgage corp,,https://www.gogsf.com/,https://blog.gogsf.com/?hsLang=en-us,,,,
87,87,guaranteed rate inc,,https://www.rate.com/,https://www.rate.com/resources/,,,,
85,85,"guardian mortgage company, inc",,https://www.guardianmortgageonline.com/,https://www.guardianmortgageonline.com/news-resources/blog/Savvy-Homeowner-Tips,https://www.guardianmortgageonline.com/loanuniversity,https://www.guardianmortgageonline.com/faq,,
88,88,guild mortgage,,https://www.guildmortgage.com/,https://www.guildmortgage.com/get-started/home-loan-guide/,,,,
89,89,hallmark home mortgage llc,,https://www.hallmarkhomemortgage.com/,n/a,,,,
233,233,"harborone mortgage, llc",,https://www.harboronemortgage.com/,,,,,
234,234,"hartford funding, ltd",,http://hartfordfunding.com/,,,,,
235,235,"highland residential mortgage, ltd",,https://highlandsmortgage.com/,,,,,
236,236,"hightech lending, inc.",,https://hightechlending.com/,,,,,
237,237,"home financing center, inc.",,http://homefinancingcenter.com/site/,,,,,
238,238,home point financial corporation,,https://www.homepointfinancial.com/,,,,,
90,90,homeamerican mortgage corp,,http://www.homeamericanmortgage.com/Default.aspx,n/a,,,http://www.homeamericanmortgage.com/MortgageGlossary.aspx,
96,96,homebridge financial services,,https://www.homebridge.com/,https://www.homebridge.com/resources/,,,,
239,239,homestar financial corporation,,https://www.homestarfc.com/,,,,,
91,91,homestead funding corp,,https://homesteadfunding.com/,,,https://homesteadfunding.com/pages/faqs,https://homesteadfunding.com/pages/glossary,
93,93,hometrust mortgage company,,https://hometrust.mymortgage-online.com/,,,https://hometrust.mymortgage-online.com/FAQ.html,,
240,240,idaho housing and finance association,y,https://www.idahohousing.com/,,,,,
100,100,impact mortgage,,https://www.impacwholesale.com/,n/a,,,,
242,242,intercap lending inc. dba suburban mortgage company of new mexico,,https://www.intercaplending.com/,,,,,
243,243,"interlinc mortgage services, llc",,https://interlincmortgage.com/,,,,,
244,244,"international city mortgage, inc.",,https://6354465323.mortgage-application.net/default.aspx,,,,,
99,99,iowa bankers mortgage corporat,,https://www.ibmc-iba.com/,n/a,,,,
245,245,"iserve residential lending, llc",,https://iservelending.com/,,,,,
246,246,"j.g. wentworth home lending, llc",,https://www.jgwentworth.com/mortgages,,,,,
